"","Row","view","time","name"
"175",175,236393,"2016-03-23","Donald_Trump"
"176",176,200596,"2016-03-24","Donald_Trump"
"177",177,196815,"2016-03-25","Donald_Trump"
"178",178,158862,"2016-03-26","Donald_Trump"
"179",179,158235,"2016-03-27","Donald_Trump"
"180",180,207236,"2016-03-28","Donald_Trump"
"181",181,183641,"2016-03-29","Donald_Trump"
"182",182,205133,"2016-03-30","Donald_Trump"
"183",183,173716,"2016-03-31","Donald_Trump"
"184",184,147965,"2016-04-01","Donald_Trump"
"185",185,112574,"2016-04-02","Donald_Trump"
"186",186,132345,"2016-04-03","Donald_Trump"
"187",187,142678,"2016-04-04","Donald_Trump"
"188",188,183689,"2016-04-05","Donald_Trump"
"189",189,152347,"2016-04-06","Donald_Trump"
"190",190,132101,"2016-04-07","Donald_Trump"
"191",191,111613,"2016-04-08","Donald_Trump"
"192",192,91470,"2016-04-09","Donald_Trump"
"193",193,108421,"2016-04-10","Donald_Trump"
"194",194,117840,"2016-04-11","Donald_Trump"
"195",195,127233,"2016-04-12","Donald_Trump"
"196",196,190818,"2016-04-13","Donald_Trump"
"197",197,108446,"2016-04-14","Donald_Trump"
"198",198,61201,"2016-04-15","Donald_Trump"
"199",199,48627,"2016-04-16","Donald_Trump"
"200",200,64481,"2016-04-17","Donald_Trump"
"201",201,73327,"2016-04-18","Donald_Trump"
"202",202,102534,"2016-04-19","Donald_Trump"
"203",203,163511,"2016-04-20","Donald_Trump"
"204",204,109991,"2016-04-21","Donald_Trump"
"205",205,84092,"2016-04-22","Donald_Trump"
"206",206,70616,"2016-04-23","Donald_Trump"
"207",207,73669,"2016-04-24","Donald_Trump"
"208",208,89044,"2016-04-25","Donald_Trump"
"209",209,95517,"2016-04-26","Donald_Trump"
"210",210,148473,"2016-04-27","Donald_Trump"
"211",211,108336,"2016-04-28","Donald_Trump"
"212",212,93945,"2016-04-29","Donald_Trump"
"213",213,76370,"2016-04-30","Donald_Trump"
"214",214,83480,"2016-05-01","Donald_Trump"
"215",215,80330,"2016-05-02","Donald_Trump"
"216",216,74420,"2016-05-03","Donald_Trump"
"217",217,288977,"2016-05-04","Donald_Trump"
"218",218,185389,"2016-05-05","Donald_Trump"
"219",219,134439,"2016-05-06","Donald_Trump"
"220",220,98271,"2016-05-07","Donald_Trump"
"221",221,97176,"2016-05-08","Donald_Trump"
"222",222,96106,"2016-05-09","Donald_Trump"
"223",223,93191,"2016-05-10","Donald_Trump"
"224",224,89183,"2016-05-11","Donald_Trump"
"225",225,86604,"2016-05-12","Donald_Trump"
"226",226,82185,"2016-05-13","Donald_Trump"
"227",227,72334,"2016-05-14","Donald_Trump"
"228",228,75553,"2016-05-15","Donald_Trump"
"229",229,92947,"2016-05-16","Donald_Trump"
"230",230,88863,"2016-05-17","Donald_Trump"
"231",231,94484,"2016-05-18","Donald_Trump"
"232",232,70391,"2016-05-19","Donald_Trump"
"233",233,61746,"2016-05-20","Donald_Trump"
"234",234,51556,"2016-05-21","Donald_Trump"
"235",235,53962,"2016-05-22","Donald_Trump"
"236",236,55265,"2016-05-23","Donald_Trump"
"237",237,54925,"2016-05-24","Donald_Trump"
"238",238,58772,"2016-05-25","Donald_Trump"
"239",239,83471,"2016-05-26","Donald_Trump"
"240",240,73885,"2016-05-27","Donald_Trump"
"241",241,60000,"2016-05-28","Donald_Trump"
"242",242,55876,"2016-05-29","Donald_Trump"
"243",243,56429,"2016-05-30","Donald_Trump"
"244",244,55818,"2016-05-31","Donald_Trump"
"245",245,61229,"2016-06-01","Donald_Trump"
"246",1,25818,"2015-10-01","Bernie_Sanders"
"247",2,20591,"2015-10-02","Bernie_Sanders"
"248",3,17683,"2015-10-03","Bernie_Sanders"
"249",4,22457,"2015-10-04","Bernie_Sanders"
"250",5,23893,"2015-10-05","Bernie_Sanders"
"251",6,22067,"2015-10-06","Bernie_Sanders"
"252",7,23528,"2015-10-07","Bernie_Sanders"
"253",8,23702,"2015-10-08","Bernie_Sanders"
"254",9,22563,"2015-10-09","Bernie_Sanders"
"255",10,22581,"2015-10-10","Bernie_Sanders"
"256",11,26494,"2015-10-11","Bernie_Sanders"
"257",12,33773,"2015-10-12","Bernie_Sanders"
"258",13,64054,"2015-10-13","Bernie_Sanders"
"259",14,394932,"2015-10-14","Bernie_Sanders"
"260",15,107519,"2015-10-15","Bernie_Sanders"
"261",16,67170,"2015-10-16","Bernie_Sanders"
"262",17,48984,"2015-10-17","Bernie_Sanders"
"263",18,58653,"2015-10-18","Bernie_Sanders"
"264",19,52821,"2015-10-19","Bernie_Sanders"
"265",20,37753,"2015-10-20","Bernie_Sanders"
"266",21,33002,"2015-10-21","Bernie_Sanders"
"267",22,35930,"2015-10-22","Bernie_Sanders"
"268",23,28370,"2015-10-23","Bernie_Sanders"
"269",24,24520,"2015-10-24","Bernie_Sanders"
"270",25,29090,"2015-10-25","Bernie_Sanders"
"271",26,27341,"2015-10-26","Bernie_Sanders"
"272",27,30344,"2015-10-27","Bernie_Sanders"
"273",28,23968,"2015-10-28","Bernie_Sanders"
"274",29,31197,"2015-10-29","Bernie_Sanders"
"275",30,20986,"2015-10-30","Bernie_Sanders"
"276",31,16513,"2015-10-31","Bernie_Sanders"
"277",32,20060,"2015-11-01","Bernie_Sanders"
"278",33,20068,"2015-11-02","Bernie_Sanders"
"279",34,24236,"2015-11-03","Bernie_Sanders"
"280",35,21141,"2015-11-04","Bernie_Sanders"
"281",36,23256,"2015-11-05","Bernie_Sanders"
"282",37,25524,"2015-11-06","Bernie_Sanders"
"283",38,28515,"2015-11-07","Bernie_Sanders"
"284",39,32140,"2015-11-08","Bernie_Sanders"
"285",40,23534,"2015-11-09","Bernie_Sanders"
"286",41,18622,"2015-11-10","Bernie_Sanders"
"287",42,22543,"2015-11-11","Bernie_Sanders"
"288",43,19471,"2015-11-12","Bernie_Sanders"
"289",44,17844,"2015-11-13","Bernie_Sanders"
"290",45,15324,"2015-11-14","Bernie_Sanders"
"291",46,68178,"2015-11-15","Bernie_Sanders"
"292",47,23736,"2015-11-16","Bernie_Sanders"
